question_id,topic_id,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,hint,xp_reward
chem-q009,chem-t001,What is the mass number?,Protons only,Neutrons only,Protons + Neutrons,Electrons + Protons,C,Mass number is the sum of nucleons.,hard,Everything in the nucleus.,20
chem-q010,chem-t001,Carbon-12 and Carbon-14 are:,Ions,Isotopes,Different elements,Molecues,B,Same element different mass.,hard,Variations of the same element.,20
bio-q001,bio-t001,The powerhouse of the cell is the:,Nucleus,Mitochondria,Ribosome,Vacuole,B,Mitochondria produce energy (ATP).,easy,Power plant.,10
bio-q002,bio-t001,The control center of the cell is the:,Nucleus,Mitochondria,Membrane,Wall,A,The nucleus contains DNA and controls activities.,easy,The brain of the cell.,10
bio-q003,bio-t001,"Plant cells have this, but animal cells don't:",Nucleus,Mitochondria,Cell Wall,Ribosome,C,Cell walls provide rigid structure to plants.,easy,Outer rigid layer.,10
bio-q004,bio-t001,Photosynthesis happens in the:,Mitochondria,Chloroplast,Nucleus,Vacuole,B,Chloroplasts contain chlorophyll for photosynthesis.,medium,Green parts.,15
bio-q005,bio-t001,Ribosomes are responsible for making:,Lipids,Proteins,Sugar,DNA,B,Ribosomes synthesize proteins.,medium,Building blocks of life.,15
bio-q006,bio-t001,The cell membrane is:,Rigid,Permeable,Semi-permeable,Solid,C,It controls what enters and exits.,medium,Selective gatekeeper.,15
bio-q007,bio-t001,Which organelle stores water and waste?,Vacuole,Lysosome,Golgi,ER,A,Vacuoles are storage sacs.,medium,Like a vacuum bag.,15
bio-q008,bio-t001,Prokaryotic cells lack a:,Cell membrane,Nucleus,Ribosome,DNA,B,Prokaryotes (like bacteria) have no distinct nucleus.,hard,Pro = No.,20
bio-q009,bio-t001,The jelly-like substance inside the cell:,Cytoplasm,Plasma,Blood,Water,A,Cytoplasm fills the cell.,hard,Cyto-something.,20
bio-q010,bio-t001,Diffusion moves particles from:,Low to High concentration,High to Low concentration,Randomly,They don't move,B,Natural spreading out of particles.,hard,Crowded to less crowded.,20
